Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Adhalrao Shivaji Dattatrey,643415,406,59.1%,Shiv Sena
2,Nikam Devdatta Jaywant,341601,406,31.4%,Nationalist Congress Party
3,Ashok Shirpati Khandebharad,36448,74,3.3%,Maharashtra Navnirman Sena
4,Waghmare Sarjerao Bhika,19783,67,1.8%,Bahujan Samaj Party
5,Nikam Sopanrao Pandharinath,16663,61,1.5%,Aam Aadmi Party
6,Sonali Chandrashekhar Thorat,3850,61,0.4%,Independent
7,Milindraje Digambar Bhosale,3258,61,0.3%,Independent
8,Dambale Ram Dharma,2433,61,0.2%,Independent
9,Nilesh Yashwant Mhaskule,2118,61,0.2%,Independent
10,Bajare Sitaram Namdeo (BABA),1933,61,0.2%,Bahujan Mukti Party
11,Geetaram Ramchandra Kadam,1906,61,0.2%,Socialist Party (India)
12,Katore Mahadev Niwritti,1792,61,0.2%,Independent
13,Vikas Sudam Kusekar,1174,61,0.1%,All India Forward Bloc
14,Umesh Arjun Kanchan,1137,61,0.1%,Independent
