Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Prasanna Kumar Patasani,439252,674,49.3%,Biju Janata Dal
2,Prithiviraj Harichandan,249775,674,28.0%,Bharatiya Janta Party
3,Bijay Mohanty,145783,246,16.3%,Indian National Congress
4,Sunjoy Hans,29505,99,3.3%,Aama Odisha Party
5,Bismaya Mahapatra,7112,77,0.8%,Aam Aadmi Party
6,Manas Ranjan Mishra,3783,77,0.4%,Independent
7,Madhu Sudan Yadav,3457,77,0.4%,Bahujan Samaj Party
8,Rabindra Nath Behera,1745,77,0.2%,Samajwadi Party
9,Prana Krushna Dalabehera,1194,77,0.1%,Samruddha Odisha
10,Kulamani Nayak,1128,77,0.1%,Proutist Bloc India
11,Pramila Behera,948,77,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
