Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Arpita Ghosh,409641,3000,38.5%,All India Trinamool Congress
2,Bimalendu Sarkar (BIMAL),302677,3000,28.5%,Revolutionary Socialist Party
3,Biswapriya Roy Choudhury,223014,1000,21.0%,Bharatiya Janta Party
4,Om Prakas Mishra,80715,400,7.6%,Indian National Congress
5,Abdus Sadek Sarkar,10547,200,1.0%,All India United Democratic Front
6,Siben Sarkar,5647,200,0.5%,Independent
7,Som Hemram,4774,200,0.4%,Jharkhand Disom Party
8,Rajen Hansda,4581,200,0.4%,Bahujan Samaj Party
9,Sasti Chandra Sarkar,3969,200,0.4%,Rashtriya Janadhikar Suraksha Party
10,Islam Nural,2644,200,0.2%,Socialist Unity Centre Of India (COMMUNIST)
11,Ranendranath Mali,1687,200,0.2%,Bahujan Mukti Party
12,Manas Chakraborty (GANESH),1466,200,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
