Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rajveer Singh (RAJU BHAIYA),474978,800,51.3%,Bharatiya Janta Party
2,Ku. Devendra Singh Yadav,273977,800,29.6%,Samajwadi Party
3,Noor Mohammad Khan,137127,200,14.8%,Bahujan Samaj Party
4,Th. Jogindra Singh Bhadoriya,12445,200,1.3%,Mahan Dal
5,Rakesh Gandhi,7123,200,0.8%,Independent
6,Rajveer Singh,5848,200,0.6%,Independent
7,Hans Raj Singh,2186,200,0.2%,Aam Aadmi Party
8,Thakur Hemendra Veer Singh,2034,200,0.2%,Sarva Samaj Kalyan Party
9,Vinay,2008,200,0.2%,Bhartiya Shakti Chetna Party
10,Danveer,1333,200,0.1%,Independent
11,Rajendra,1021,200,0.1%,Braj Vikas Party
