Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Uma Bharati,575889,1485,43.6%,Bharatiya Janta Party
2,Dr. Chandrapal Singh Yadav,385422,1485,29.2%,Samajwadi Party
3,Anuradha Sharma,213792,352,16.2%,Bahujan Samaj Party
4,Pradeep Jain 'aditya',84089,153,6.4%,Indian National Congress
5,Ram Kumar 'ank Shastri',11443,91,0.9%,Independent
6,Rajendra Kumar,8600,91,0.7%,Independent
7,Archana,5536,91,0.4%,Aam Aadmi Party
8,Rachna Sharma,4522,91,0.3%,Independent
9,Naresh Kumar,4215,91,0.3%,Rashtriya Sarvajan Party
10,Dilshad Ahmad,2727,91,0.2%,Independent
11,Tula Ram,2605,91,0.2%,Independent
12,Sunil Massey,2121,91,0.2%,Shiv Sena
13,Kuldeep Kumar,2036,91,0.2%,Independent
14,Chintamani,2029,91,0.2%,Akhil Rashtrawadi Party
15,Maulana Mohammad,1819,91,0.1%,Peace Party
