Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Jitendra Singh,487369,9967,46.8%,Bharatiya Janta Party
2,Ghulam Nabi Azad,426393,9967,40.9%,Indian National Congress
3,Mohd Arshad Malik,30461,100,2.9%,Jammu & Kashmir Peoples Democratic Party
4,Prof. Bhim Singh,25312,100,2.4%,J & K National Panthers Party
5,Dharam Pal Balgotra,16437,91,1.6%,Bahujan Samaj Party
6,Anil Khajuria,15188,91,1.5%,Independent
7,Nazakat Hussain,9217,83,0.9%,Independent
8,Bansi Lal,7339,83,0.7%,Independent
9,Anil Kumar Gupta,5755,83,0.6%,Independent
10,Sham Lal,2187,83,0.2%,All J & K Kisan Majdoor Party
11,Girdhari Lal,1971,83,0.2%,Bharatiya Bahujan Party
12,Smt. Amrit Barsha,1842,83,0.2%,Samajwadi Party
13,Jagdish Kumar,1809,83,0.2%,Jai Maha Bharath Party
