Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Janardan Singh Sigriwal,320753,14923,37.9%,Bharatiya Janta Party
2,Prabhu Nath Singh,282338,14923,33.3%,Rashtriya Janata Dal
3,Manoranjan Singh,149483,604,17.7%,Janata Dal (United)
4,Brinda Pathak,17186,124,2.0%,Independent
5,Umashankar Tiwari,11599,116,1.4%,Independent
6,Nagendra Prasad,11189,116,1.3%,Bahujan Samaj Party
7,Dr. Gopal Prasad,10602,116,1.3%,Independent
8,Shiv Nath Mahto,8874,116,1.0%,Independent
9,Rina Rani,6430,103,0.8%,Aam Aadmi Party
10,Byas Manjhi,4796,103,0.6%,Bahujan Mukti Party
