Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Thambiduraim.,540722,946,51.7%,All India Anna Dravida Munnetra Kazhagam
2,Chinnasamy M.,345475,946,33.0%,Dravida Munetra Kazhagam
3,Krishnan N.S.,76560,127,7.3%,Desiya Murpokku Dravida Kazhagam
4,Jothimani S.,30459,90,2.9%,Indian National Congress
5,Maruthaiveeran V.,5694,75,0.5%,Bahujan Samaj Party
6,Balasubramanian G.,4486,75,0.4%,Independent
7,Prakash N.,4280,75,0.4%,Independent
8,Chinnasamy M.,3719,75,0.4%,Independent
9,Selvaraj S.,3552,75,0.3%,Independent
10,Valaiyapathi R.,2440,75,0.2%,Aam Aadmi Party
11,Chinnasamy V.,2108,75,0.2%,Independent
12,Kannan P.,1436,75,0.1%,Independent
13,Gowrimani S.,1433,75,0.1%,Independent
14,Thamilalagan A.,1387,75,0.1%,Independent
15,Maneeshankar M.G.,1276,75,0.1%,Rashtriya Samaj Paksha
16,Mahendran T.,1024,75,0.1%,Independent
17,Vigneshwaran M.,981,75,0.1%,Independent
18,Murugesan M.,848,75,0.1%,Samajwadi Party
19,Vijay J.,847,75,0.1%,Independent
20,Manickavasagam A.,831,75,0.1%,Independent
21,Saraswathy K.,813,75,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
22,Ravi S.P.,732,75,0.1%,Independent
23,Kannan S.,668,75,0.1%,Independent
24,Ravichandran V.,563,75,0.1%,Ulzaipali Makkal Katchy
25,Murugaan N.,437,75,0.0%,Independent
