Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Venkatesh Babu .T.G,406704,3000,44.7%,All India Anna Dravida Munnetra Kazhagam
2,Girirajan .R,307000,3000,33.7%,Dravida Munetra Kazhagam
3,Soundarapandian .M,86989,200,9.6%,Desiya Murpokku Dravida Kazhagam
4,Biju Chacko,24190,200,2.7%,Indian National Congress
5,Vasuki .U,23751,200,2.6%,Communist Party Of India (MARXIST)
6,Nijam Mohaideen .M,14585,200,1.6%,Social Democratic Party Of India
7,Srinivason .S,6819,200,0.7%,Aam Aadmi Party
8,Janarthanan .J,4960,200,0.5%,Bahujan Samaj Party
9,Paul Kanagaraj. R.C,1589,200,0.2%,Independent
10,Kolangi. M,1494,200,0.2%,Independent
11,Kesavan. L,1198,200,0.1%,Independent
12,Vijaya Kumar .K,1145,200,0.1%,Tamil Nadu Makkal Congress
13,Srinivasan. J,964,200,0.1%,Independent
14,Sundar. G,870,200,0.1%,Independent
15,Marimuthu. P,777,200,0.1%,Independent
16,Sivashanmuga Perumal. S,712,200,0.1%,Independent
17,Ravi Pariyanar. D,600,200,0.1%,Independent
18,Babu Mailan .A,569,200,0.1%,Lok Satta Party
19,Mariraj. T.R,559,200,0.1%,Independent
20,Sivakumar . V,502,200,0.1%,Socialist Unity Centre Of India (COMMUNIST)
21,Charavanan. M.P.,475,200,0.1%,Independent
21,Deepak. C,475,200,0.1%,Independent
23,Senthil Kumar. K,472,200,0.1%,Independent
24,Seetha Mallar. A,469,200,0.1%,Independent
25,Prabhakaran. K,457,200,0.1%,Independent
26,Giriraj. D,414,200,0.0%,Independent
27,Paulraj .T,387,200,0.0%,Makkal Manadu Katchi
28,Devaraj. G,386,200,0.0%,Independent
29,Mahendran. K.P.P.,343,200,0.0%,Independent
30,Raja. B,337,200,0.0%,Independent
31,Balaji. E,311,200,0.0%,Independent
32,Mohamed Majasuddin,302,200,0.0%,Independent
33,Durai Babu. R,297,200,0.0%,Independent
34,Ramesh Kannan .G,257,200,0.0%,Republican Party Of India
35,Ramasamy. M.D.,234,200,0.0%,Independent
36,Raj. N,216,200,0.0%,Independent
37,Ravikumar. T,211,200,0.0%,Independent
38,Ponraj. P,208,200,0.0%,Independent
38,Anbazhagan .G,208,200,0.0%,Independent
40,Yogaraj. S,206,200,0.0%,Independent
