Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Anil Shirole,569825,400,57.4%,Bharatiya Janta Party
2,Dr.Vishwajeet Patangrao Kadam,254056,400,25.6%,Indian National Congress
3,Deepak Natharam Paigude,93502,200,9.4%,Maharashtra Navnirman Sena
4,Ware Subhash Shankarrao,28657,200,2.9%,Aam Aadmi Party
5,Imtiyaz Peerzade,14727,200,1.5%,Bahujan Samaj Party
6,Arun Bhatia,7222,200,0.7%,Peoples Guardian
7,Dambale Rahul Dharma,2259,200,0.2%,Independent
8,Colonel Jayantrao Chitale,1884,200,0.2%,Independent
9,Nana Kshirsagar,1797,200,0.2%,Bharipa Bahujan Mahasangh
10,Col Suresh Patil (RTD),1324,200,0.1%,Bahujan Mukti Party
11,Devkule Bibhishan Jagannath,1230,200,0.1%,Independent
12,Saiyyad Afser Ibrahim,1131,200,0.1%,Samajwadi Party
13,Manchak Trimbakrao Karale,1028,200,0.1%,Independent
14,Shivaji Pandurang Adhav,868,200,0.1%,Independent
15,Nilesh Dhanave,840,200,0.1%,Independent
16,Dinesh Pandurang Pawar,692,200,0.1%,Independent
17,Sushama Pandurang Gaikwad,590,200,0.1%,Independent
18,Ashapak Shaikh,585,200,0.1%,Independent
19,Santosh Pawar,565,200,0.1%,Independent
20,Bansode Chayya Tukaram,512,200,0.1%,Independent
21,Umesh Bhujang Masankhamb,494,200,0.0%,Independent
22,Sanjay Laxman Padwal,477,200,0.0%,Bhartiya Navjawan Sena (Paksha)
23,Yadav Gangadhar Nathu,455,200,0.0%,Independent
24,Khirid Simkumar Bhagwan,380,200,0.0%,Independent
25,Rupali Tamboli,378,200,0.0%,Independent
26,Shashikant Bhikaji Owhal,359,200,0.0%,Independent
27,Azam Vakil Maniyar,353,200,0.0%,Independent
28,Ajay Vasant Paithankar,343,200,0.0%,Independent
29,Vijay Laxman Sarode,303,200,0.0%,Independent
