Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Krishna Pratap 'k.P.',367149,1400,36.5%,Bharatiya Janta Party
2,Subhash Pandey,220839,1400,21.9%,Bahujan Samaj Party
3,Parasnath Yadav,180003,800,17.9%,Samajwadi Party
4,Dhananjay Singh,64137,400,6.4%,Independent
5,Dr. K. P. Yadav,43471,200,4.3%,Aam Aadmi Party
6,Ravi Kishan,42759,200,4.2%,Indian National Congress
7,Ravikant Yadav,20832,200,2.1%,Independent
8,Shahabuddin,19636,200,1.9%,Rashtriya Ulama Council
9,Jogendra Prasad,7281,200,0.7%,Independent
10,Pramod Kumar Alias Pramod Bhai Patel,7206,200,0.7%,Samyak Parivartan Party
11,Premchand Bind,6814,200,0.7%,Pragatisheel Manav Samaj Party
12,Anupati Ram Yadav,4026,200,0.4%,Bahujan Mukti Party
13,Yogish Chandra Dubey,2773,200,0.3%,Independent
14,Anil Kumar Singh,2694,200,0.3%,Independent
15,Ravishankar Maurya,2608,200,0.3%,Socialist Unity Centre Of India (COMMUNIST)
16,Rajesh Prajapati,2329,200,0.2%,Sarvshreshth Dal
17,Arvind,2204,200,0.2%,Suheldev Bhartiya Samaj Party
18,Vimal Kumar Yadav,2109,200,0.2%,Independent
19,Sarfaraj,2064,200,0.2%,Peace Party
20,Dr. Sanjivan Bind,1863,200,0.2%,Independent
21,Gulab Chand Dubey,1751,200,0.2%,Shiv Sena
