Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Banshilal Mahto,439002,734514,41.7%,Bharatiya Janta Party
2,Charan Das Mahant,434737,734514,41.3%,Indian National Congress
3,Hirasingh Markam,52753,153,5.0%,Gondvana Gantantra Party
4,Jeevan Lal Raoutel,18459,119,1.8%,Independent
5,Amar Nath Pandey,14594,110,1.4%,Aam Aadmi Party
6,Dhansingh Dhurve,14198,110,1.3%,Bahujan Samaj Party
7,Pratap Bhanu,9495,100,0.9%,Independent
8,Charan Bhaya,6919,100,0.7%,Independent
9,Jata Shankar Panday,6461,100,0.6%,Independent
10,S.R. Anchal,5657,100,0.5%,Independent
11,Chandra Bhushan Pratap Singh Kanwar,5238,100,0.5%,Ambedkarite Party Of India
12,Laxman Lal Kaiwart,4265,100,0.4%,Chhattisgarhiya Party
13,Phuleshwar Prasad Surajiha,4111,100,0.4%,Independent
14,Rajesh Kumar Pandey,3676,100,0.3%,Independent
15,Dr.Urmila Singh Marko,2768,100,0.3%,Rashtriya Gondvana Party
16,Harbhajan Singh Shyam,2728,100,0.3%,Independent
17,Rajendra Singh Kanwar,2700,100,0.3%,Chhattisgarh Swabhiman Manch
18,Mohan Lal Bargahi,2679,100,0.3%,Independent
19,Fatte Singh Shyam,2671,100,0.3%,Independent
20,Kewal Goswami,2478,100,0.2%,Samajwadi Party
21,Sekh Rauf,2422,100,0.2%,Independent
22,Rajesh Kumar Mahant,2333,100,0.2%,Janata Dal (United)
23,Kamal Deo,1998,100,0.2%,Bhartiya Shakti Chetna Party
24,Shambhu Prasad Sharma Advocate,1808,100,0.2%,Independent
