Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Mausam Noor,388609,9400,33.4%,Indian National Congress
2,Khagen Murmu,322904,9400,27.8%,Communist Party Of India (MARXIST)
3,Soumitra Ray,197313,1000,17.0%,All India Trinamool Congress
4,Subhash Krishna Goswami,179000,800,15.4%,Bharatiya Janta Party
5,Milan Das,12163,200,1.0%,Samajwadi Party
6,Gautam Sarkar,8988,200,0.8%,Socialist Unity Centre Of India (COMMUNIST)
7,Nurul Islam Majidi,7128,200,0.6%,Welfare Party Of India
8,Imanuyel Hemram (BAIDYA),6805,200,0.6%,Jharkhand Disom Party
9,Suren Murmu,6446,200,0.6%,Independent
10,Chitta Ranjan Kirttania,6229,200,0.5%,Bahujan Samaj Party
11,Monatan Hembram,4696,200,0.4%,Bahujan Mukti Party
12,Abdul Khaleque,4650,200,0.4%,All India United Democratic Front
13,Bishnupada Barman,4225,200,0.4%,Amra Bangalee
14,Minara Khatun,3348,200,0.3%,Hindustan Krantikari Dal
