Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sadhvi Savitri Bai Foole,432392,3048,46.3%,Bharatiya Janta Party
2,Shabbir Ahmad,336747,3048,36.0%,Samajwadi Party
3,Dr.Vijay Kumar,96904,184,10.4%,Bahujan Samaj Party
4,Comando Kamal Kishor,24421,98,2.6%,Indian National Congress
5,Jagat Ram,8319,81,0.9%,Aam Aadmi Party
6,Ram Naresh,5826,81,0.6%,Independent
7,Ramashanker Gond,5735,81,0.6%,Jai Hind Samaj Party
8,Hira Lal Rao,4026,81,0.4%,Ambedkar National Congress
9,Vinod Kumar,3719,81,0.4%,Bahujan Mukti Party
10,Madhav,2676,81,0.3%,Lok Dal
