Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bharathi Mohan R.K,513729,406,50.1%,All India Anna Dravida Munnetra Kazhagam
2,Hyder Ali.S,236679,406,23.1%,Manithaneya Makkal Katchi
3,Agoram. K,144085,203,14.0%,Pattali Makkal Katchi
4,Mani Shankar Aiyar,58465,115,5.7%,Indian National Congress
5,Pandiyan .R,11613,77,1.1%,Independent
6,Fathima Alias Bharathi. R,7582,77,0.7%,Independent
7,Raguraman. A,7214,77,0.7%,Independent
8,Revathi.A,6286,77,0.6%,Independent
9,Thirunavukkarasu. R,4714,77,0.5%,Independent
10,Gunasekaran.N,4149,77,0.4%,Independent
11,Rasavelu.K,3654,77,0.4%,Bahujan Samaj Party
12,Irulappan.V,2643,77,0.3%,Samajwadi Party
13,Timothy.T,2327,77,0.2%,Independent
14,Shamsudeen. M,2303,77,0.2%,Independent
15,Arumugam. C,2028,77,0.2%,Independent
16,Munusamy.V,1994,77,0.2%,Independent
17,Nagarajan. M,1066,77,0.1%,Independent
18,Jarina Begam. N,1056,77,0.1%,Independent
19,Jeyaprakash. B,770,77,0.1%,Independent
