Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rajesh Verma,417546,13485,40.7%,Bharatiya Janta Party
2,Kaiser Jahan,366519,13485,35.7%,Bahujan Samaj Party
3,Bharat Tripathi,156170,394,15.2%,Samajwadi Party
4,Vaishali Ali,29104,127,2.8%,Indian National Congress
5,Suchita Kumar,8959,100,0.9%,Independent
6,Jagdish Narayan Shukla,8089,100,0.8%,All India Trinamool Congress
7,Turab Ali,6646,100,0.6%,Independent
8,Pushpa Devi,3575,100,0.3%,Independent
9,Jagmohan Singh Verma,2550,100,0.2%,All India Forward Bloc
10,Ram Avtar Nishad,2504,100,0.2%,Jai Hind Samaj Party
11,Sanjay Tiwari,2373,100,0.2%,Naitik Party
12,Shefali Misra,2319,100,0.2%,Aam Aadmi Party
13,R. K. Misra,2205,100,0.2%,Nav Bharat Democratic Party
14,Eraj Beg,2195,100,0.2%,Nagrik Ekta Party
15,Chaudhary Lal Baghel,1992,100,0.2%,Bahujan Mukti Party
16,Sant Kumar,1544,100,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
