Position,Candidate Name,Votes,MinSample,Votes %,Party
1,K C Venugopal,462525,88594,46.4%,Indian National Congress
2,C B Chandrababu,443118,88594,44.4%,Communist Party Of India (MARXIST)
3,Prof.A.V.Thamarakshan,43051,120,4.3%,Revolutionary Socialist Party Of Kerala (Bolshevik)
4,Thulaseedharan Pallickal,10993,92,1.1%,Social Democratic Party Of India
5,D Mohanan,9414,84,0.9%,Aam Aadmi Party
6,Adv.M.A.Bindu,5921,84,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,P V Natesan,3385,84,0.3%,Bahujan Samaj Party
8,Venugopal P C,3149,84,0.3%,Independent
9,Chandrababu G,1615,84,0.2%,Independent
10,T S Balakrishnan,1363,84,0.1%,Independent
11,S.B.Basheer,709,84,0.1%,Independent
12,Jayachandran Sarasamma,481,84,0.0%,Independent
13,M M Paulose,402,84,0.0%,Independent
