Position,Candidate Name,Votes,MinSample,Votes %,Party
1,S.R. Vijayakumar,333296,10400,40.9%,All India Anna Dravida Munnetra Kazhagam
2,Dayanidhi Maran,287455,10400,35.3%,Dravida Munetra Kazhagam
3,J. Constandine Ravindran,114798,400,14.1%,Desiya Murpokku Dravida Kazhagam
4,C.D. Meyyappan,25981,200,3.2%,Indian National Congress
5,J. Prabhakar,19553,200,2.4%,Aam Aadmi Party
6,Muralikrishnan (A) SAMARAN,2531,200,0.3%,Bahujan Samaj Party
7,M. Mohamed Rasik,2019,200,0.2%,Independent
8,S.D. Krishnakumar,1528,200,0.2%,Republican Party Of India (A)
9,T. Ravikumar,973,200,0.1%,Independent
10,Auditor Gopinarayanan,805,200,0.1%,Makkal Manadu Katchi
11,M. Murugan,697,200,0.1%,Independent
12,P. Ahila,579,200,0.1%,Independent
13,P. Manimaran,391,200,0.0%,Independent
14,Arundhathi Jaiganesh (A) S.JAIGANESH,390,200,0.0%,Independent
14,B. Ambeth Venkatesh,390,200,0.0%,Independent
16,K.Raveendran,369,200,0.0%,Independent
17,M. Prabakaran,336,200,0.0%,Independent
18,V. Chandramohan,324,200,0.0%,Independent
19,D. Babu,261,200,0.0%,Independent
20,D. Ramesh,259,200,0.0%,Independent
