x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Samta Devi,1858,"70,909",45.4%,Rashtriya Janata Dal,
2,2,Sudha Devi,1858,"51,783",33.2%,Lok Jan Shakti Party,
3,3,Harendra Prasad,118,"7,999",5.1%,Bahujan Samaj Party,
4,4,Mukesh Kumar,93,"3,778",2.4%,Independent,
5,5,Sarju Parsad,87,"3,287",2.1%,Republican Party Of India,
6,6,Ramotar Manjhi,87,"2,627",1.7%,Samras Samaj Party,
7,7,Sreechand Das,87,"2,408",1.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
8,8,Dileep Paswan,87,"2,303",1.5%,Bahujan Mukti Party,
9,9,Pramod Manzi,76,"1,346",0.9%,Pragatisheel Magahi Samaj,
10,10,Munni Devi,76,"1,307",0.8%,Krantikari Vikas Dal,
11,11,Balkunwar Manjhi,76,"1,059",0.7%,Apna Dal,
