x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kumari Manju Verma,589,"69,795",50.4%,Janata Dal (United),
2,2,Anil Kumar Chaudhary,589,"40,059",28.9%,Lok Jan Shakti Party,
3,3,Md. Abdul Hafiz Khan,103,"8,092",5.8%,Communist Party Of India,
4,4,Raj Kishor Yadav,75,"3,168",2.3%,Rashtravadi Janata Party,
5,5,Sarjan Sahani,75,"2,682",1.9%,Bahujan Mukti Party,
6,6,Laxmi Mahto,75,"2,513",1.8%,Sarvajan Kalyan Loktantrik Party,
7,7,Pradip Paswan,67,"1,890",1.4%,Independent,
8,8,Rakesh Kumar Varama,67,"1,839",1.3%,Independent,
9,9,Arun Paswan,67,"1,634",1.2%,Bahujan Samaj Party,
10,10,Ram Sewak Mahto,67,"1,153",0.8%,Samras Samaj Party,
