x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bashisht Singh,5200,"57,018",32.1%,Janata Dal (United),
2,2,Birendra  Kumar Singh,5200,"44,111",24.8%,Rashtriya Lok Samta Party,
3,3,Alok Kumar Singh,1000,"27,454",15.5%,Independent,
4,4,Md.  Shamim Shah,800,"23,677",13.3%,Bahujan Samaj Party,
5,5,Ram Dhani Singh,200,"6,121",3.4%,Samajwadi Party,
6,6,Shashikant Tiwari,200,"2,996",1.7%,Shiv Sena,
7,7,Neeraj Shukla,200,"2,765",1.6%,Independent,
8,8,Shiv Shankar Singh,200,"2,422",1.4%,Independent,
9,9,Pankaj Kumar Singh,200,"1,740",1.0%,Independent,
10,10,Mahendra Prasad Gupta,200,"1,587",0.9%,Communist Party Of India,
11,11,Deenanath Prasad,200,"1,387",0.8%,Independent,
12,12,Ruby  Devi,200,"1,254",0.7%,Rashtra Sewa Dal,
13,13,Janaki Bhagat,200,"1,194",0.7%,Independent,
14,14,Ram Avtar Gupta,200,686,0.4%,Janvadi Party(Socialist),
15,15,Akhilesh Rai,200,602,0.3%,Manavadhikar Janshakti Party,
16,16,Md. Dilbas Ansari,200,565,0.3%,Independent,
17,17,Rama Prsad Singh,200,453,0.3%,Bahujan Mukti Party,
18,18,Dev Brat Arya,200,227,0.1%,Apna Dal,
