x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kapil Deo Kamat,1800,"61,486",37.7%,Janata Dal (United),
2,2,Binod Kumar Singh,1800,"41,219",25.3%,Lok Jan Shakti Party,
3,3,Uma Kant Yadav,600,"27,153",16.6%,Samajwadi Party,
4,4,Shiv Sundar Kamat,200,"3,920",2.4%,Independent,
5,5,Surya Narayan Mahto,200,"3,635",2.2%,Communist Party Of India,
6,6,Vishwanath Roy,200,"3,404",2.1%,Independent,
7,7,Vijay Kumar Singh,200,"3,332",2.0%,Independent,
8,8,Dilip Kumar Sharma,200,"3,328",2.0%,Independent,
9,9,Rita Devi,200,"2,105",1.3%,Bahujan Samaj Party,
10,10,S.N. Jha,200,"1,591",1.0%,Akhil Bhartiya Mithila Party,
11,11,Meena Devi,200,"1,335",0.8%,Akhil Bharat Hindu Mahasabha,
12,12,Dilip Kumar Jha,200,"1,328",0.8%,Rashtriya Jankranti Party,
13,13,Brajendra Jha,200,"1,264",0.8%,Hind Congress Party,
