x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Hari Narayan Singh,3550,"71,933",45.9%,Janata Dal (United),
2,2,Arun Kumar,3550,"57,638",36.8%,Lok Jan Shakti Party,
3,3,Dharmendra Kumar,95,"4,146",2.7%,Independent,
4,4,Brij Nandan Yadav,87,"3,128",2.0%,Jan Adhikar Party (Loktantrik),
5,5,Neelam Kumari Singh,87,"2,858",1.8%,Nationalist Congress Party,
6,6,Santosh Kumar,87,"2,093",1.3%,Independent,
7,7,Sitaram Paswan,87,"1,959",1.3%,Bahujan Samaj Party,
8,8,Pintu Kumar,78,"1,692",1.1%,Independent,
9,9,Chandra Uday Kumar,78,"1,450",0.9%,Independent,
10,10,Amit Anand,78,"1,262",0.8%,Independent,
11,11,Ramdas Akela,78,"1,165",0.7%,Communist Party Of India (Marxist-Leninist) (Liberation),
12,12,Munna Kumar,78,720,0.5%,Aam Janata Party,
13,13,Arjun Prasad,78,586,0.4%,Independent,
14,14,Bijay Kumar,78,542,0.4%,Pragatisheel Magahi Samaj,
