x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sudarshan Kumar,1400,"46,406",41.7%,Indian National Congress,
2,2,Sheo Kumar,1400,"30,689",27.6%,Rashtriya Lok Samta Party,
3,3,Radhey Sharma,200,"8,122",7.3%,Independent,
4,4,Ravi Chaudhary,200,"5,789",5.2%,Independent,
5,5,Anil Shankar Sinha,200,"4,420",4.0%,Nationalist Congress Party,
6,6,Preetam Kumari,200,"2,661",2.4%,Bahujan Samaj Party,
7,7,Rajeshwari Prasad,200,"2,460",2.2%,Communist Party Of India,
8,8,Amritash Anand,200,"1,461",1.3%,Independent,
9,9,Mritunjay Kumar,200,"1,452",1.3%,Independent,
10,10,Yugeshwar Manjhi,200,"1,188",1.1%,Independent,
11,11,Krishna Murari Kumar,200,"1,102",1.0%,Independent,
