x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dayanidhi Maran,600,"316,329",61.7%,Dravida Munetra Kazhagam, AC View
2,2,Balaganga N.,600,"182,151",35.5%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Venkatesan G,200,"2,896",0.6%,Jharkhand Party, AC View
4,4,Sagul Hameedhu,200,"2,164",0.4%,Bahujan Samaj Party, AC View
5,5,"Mohamed Ansare, P",200,"1,433",0.3%,Independent, AC View
6,6,Bheema Rao. B R,200,"1,101",0.2%,Independent, AC View
7,7,Farouk Mohamed. M S,200,858,0.2%,Independent, AC View
8,8,"Mohammed Ali Jinna, J",200,772,0.2%,Independent, AC View
9,9,Arunthathi Jaiganesh(ALIAS) JAIGANESH. S,200,537,0.1%,Independent, AC View
10,10,"Meenakshisundaram, S P",200,501,0.1%,Independent, AC View
11,11,"Kumaresh, N.",200,442,0.1%,Independent, AC View
12,12,Kalaiazhagan  A.,200,413,0.1%,Independent, AC View
13,13,Ravichandran K S.,200,387,0.1%,Independent, AC View
14,14,"Kumar, K",200,384,0.1%,Independent, AC View
15,15,"Durairaj, J",200,342,0.1%,Independent, AC View
16,16,"Gopinath, D",200,326,0.1%,Independent, AC View
17,17,"Dalitkudimahan, T D K.(ALIAS) DAYA. KRISHNAMURTHY, T.",200,293,0.1%,Independent, AC View
18,18,"Vasantha, ( TMT.) L.",200,289,0.1%,Independent, AC View
19,19,Sudharsan. M S,200,281,0.1%,Independent, AC View
20,20,"Kirubanandam, S N.",200,269,0.1%,Independent, AC View
21,21,"Ravikumar, K G.",200,227,0.0%,Independent, AC View
22,22,"Vijayasekar, D",200,224,0.0%,Independent, AC View
23,23,"Govindarajan, A.",200,201,0.0%,Independent, AC View
