x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Lakshman Singh,9200,"283,135",47.3%,Bharatiya Janta Party, AC View
2,2,Shambhoo Singh,9200,"246,423",41.1%,Indian National Congress, AC View
3,3,Pandit Prakash Paliwal,200,"16,129",2.7%,Samajwadi Party, AC View
4,4,Shobhna Yadav,200,"13,967",2.3%,Bahujan Samaj Party, AC View
5,5,Heeralal Dangi,200,"10,865",1.8%,Independent, AC View
6,6,Lakshman Singh ( LIMBODA),200,"7,299",1.2%,Independent, AC View
7,7,Ahamad Khan,200,"6,350",1.1%,Independent, AC View
8,8,Vineeta  Ashok Tripathi,200,"6,022",1.0%,Independent, AC View
9,9,Lakshman Singh ( SAMELI ),200,"4,283",0.7%,Independent, AC View
10,10,Dr. Rajni Sharma ( SAMAJ SEVIKA),200,"2,552",0.4%,Independent, AC View
11,11,Dr. Badri Prasad Birmal,200,"2,204",0.4%,Independent, AC View
