x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rani. K,877,"384,170",55.4%,Indian National Congress, AC View
2,2,Anbalagan. S,877,"249,637",36.0%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Ayyasamy. S,82,"24,522",3.5%,Janata Dal (United), AC View
4,4,Ravi. R,75,"12,286",1.8%,Independent, AC View
5,5,Mariyappan. M P,68,"6,403",0.9%,Bahujan Samaj Party, AC View
6,6,Kumaravel. N,68,"4,171",0.6%,Jharkhand Party, AC View
7,7,Ponmeny ( SELVI) M P V,68,"3,956",0.6%,Independent, AC View
8,8,Manivannan. K,68,"3,577",0.5%,Independent, AC View
9,9,Balasubramaniam. M,68,"2,355",0.3%,Independent, AC View
10,10,Nalla Thambi. C,68,"1,419",0.2%,Independent, AC View
11,11,Senthil Kumar. P,68,"1,188",0.2%,Independent, AC View
12,12,Shankar. K M,68,"1,152",0.2%,Independent, AC View
13,13,Abimanyu. N,68,"1,140",0.2%,Independent, AC View
