x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Samik Lahiri,1000,"430,890",51.6%,Communist Party Of India (MARXIST), AC View
2,2,Saugata Roy,1000,"277,106",33.2%,All India Trinamool Congress, AC View
3,3,Daulat Ali Sheikh,200,"92,859",11.1%,Indian National Congress, AC View
4,4,Sekh  Nasir Uddin,200,"8,427",1.0%,Independent, AC View
5,5,Abdur Rauf Baidya,200,"5,559",0.7%,Independent, AC View
6,6,Zameerul Hasan,200,"4,455",0.5%,Indian National League, AC View
7,7,Mainuddin Chisty,200,"4,001",0.5%,Independent, AC View
8,8,Dr. Dhiren Mondal,200,"3,664",0.4%,Bahujan Samaj Party, AC View
9,9,Bechu Mondal,200,"3,411",0.4%,Independent, AC View
10,10,Mala Banerjee,200,"2,592",0.3%,Jana Unnayan Mancha, AC View
11,11,Sekh  Nazrul Islam,200,"2,139",0.3%,Samajwadi Party, AC View
12,12,Amit Sundar Purkait,200,"1,437",0.2%,Independent, AC View
