x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,A. P. Abdullakutty,3547,"435,058",50.7%,Communist Party Of India (MARXIST), AC View
2,2,Mullappally Ramachandran,3547,"351,209",40.9%,Indian National Congress, AC View
3,3,O K Vasu Master,111,"47,213",5.5%,Bharatiya Janta Party, AC View
4,4,Thomas Mannakuzhi,76,"10,295",1.2%,Independent, AC View
5,5,Sreeraman Koyyon,76,"4,773",0.6%,Independent, AC View
6,6,Satheesh Kumar Pamban,76,"4,274",0.5%,Independent, AC View
7,7,George Njavarakkattu,76,"3,496",0.4%,Independent, AC View
8,8,M Ramachandran,76,"2,342",0.3%,Independent, AC View
9,9,Thekkumbath Abdulla,76,"1,484",0.2%,Independent, AC View
10,10,Pallipram Prabhakaran,76,854,0.1%,Independent, AC View
