x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Atique Ahamad,4240,"265,432",35.1%,Samajwadi Party, AC View
2,2,Keshari Devi Patel,4240,"201,085",26.6%,Bahujan Samaj Party, AC View
3,3,Beni Madhav Bind,1215,"151,509",20.1%,Bharatiya Janta Party, AC View
4,4,Dr. Sonelal Patel,382,"80,388",10.6%,Apna Dal, AC View
5,5,Ram Poojan Patel,148,"11,367",1.5%,Indian National Congress, AC View
6,6,Karedeen,137,"9,557",1.3%,Independent, AC View
7,7,Uma Devi Vaishya,126,"5,432",0.7%,Independent, AC View
8,8,Sanjeev Kumar Mishra,126,"4,499",0.6%,Independent, AC View
9,9,Chand Pal,126,"4,147",0.5%,Independent, AC View
10,10,Jai Prakash,126,"3,747",0.5%,Independent, AC View
11,11,Lok Bahadur Gond,126,"2,070",0.3%,Gondvana Gantantra Party, AC View
12,12,Shesh Puri,126,"1,882",0.2%,Rashtriya Krantikari Samajwadi Party, AC View
13,13,Jai Singh Yadav,126,"1,715",0.2%,Independent, AC View
14,14,Shameem Hashmi,126,"1,465",0.2%,Independent, AC View
15,15,Ram Nath Priyadarshi Suman,126,"1,199",0.2%,Republican Party Of India, AC View
16,16,Lalta Prasad Yadav,126,"1,057",0.1%,Rashtriya Parivartan Dal, AC View
17,17,Dr. Neeraj,126,994,0.1%,Independent, AC View
18,18,Ranjor Singh,126,973,0.1%,Independent, AC View
19,19,Akhilesh Kumar Tripathi,126,967,0.1%,Savarn Samaj Party, AC View
20,20,Diwakar Mishra,126,965,0.1%,Independent, AC View
21,21,Ram Singar,126,952,0.1%,Bharat Kranti Rakshak Party, AC View
22,22,Doodh Nath,126,868,0.1%,Labour Party (Secular), AC View
23,23,Awadhesh Kumar Kushwaha,126,862,0.1%,Navbharat Nirman Party, AC View
24,24,Nagendra Singh,126,793,0.1%,Independent, AC View
25,25,Rakesh Chandra Patel,126,742,0.1%,Rashtriya Swabhimaan Party, AC View
26,26,Dinesh Kumar Sainik,126,555,0.1%,Independent, AC View
