x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ajay Makan,8800,"105,415",51.9%,Indian National Congress, AC View
2,2,Jagmohan,8800,"92,631",45.6%,Bharatiya Janta Party, AC View
3,3,Vikram,200,"1,983",1.0%,Bahujan Samaj Party, AC View
4,4,Sanjay Kumar Yadav,200,680,0.3%,Independent, AC View
5,5,Javed Abidi,200,397,0.2%,Independent, AC View
6,6,Ramesh Kumar,200,272,0.1%,Independent, AC View
7,7,Ved Prakash,200,222,0.1%,Independent, AC View
8,8,B. S. Yadav,200,177,0.1%,J & K National Panthers Party, AC View
9,9,Ram Kumar Azad,200,146,0.1%,Independent, AC View
10,10,Maharaj Kumar Advocate,200,125,0.1%,Desh Bhakt Party, AC View
11,10,Dr. Nina Dey Gupta,200,125,0.1%,Independent, AC View
12,12,Vimla Joshi,200,107,0.1%,Akhil Bharat Hindu Mahasabha, AC View
13,13,Ramesh Chand,200,105,0.1%,Independent, AC View
14,14,Mohd. Islam,200,93,0.0%,Independent, AC View
15,15,Umesh Gulati,200,79,0.0%,Independent, AC View
