x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raghubansh Prasad Singh,1649,"361,503",48.3%,Rashtriya Janata Dal, AC View
2,2,Vijay Kumar Shukla,1649,"255,568",34.1%,Independent, AC View
3,3,Dr. Harendra Kumar,168,"73,287",9.8%,Janata Dal (United), AC View
4,4,Jitender Kumar Singh,92,"14,474",1.9%,Bahujan Samaj Party, AC View
5,5,Shivcharan Ram,81,"7,930",1.1%,Independent, AC View
6,6,Shivchandar Singh,81,"7,762",1.0%,Independent, AC View
7,7,Ashok Kumar Singh,81,"4,082",0.5%,Independent, AC View
8,8,Sambhu Prasad Singh,81,"3,972",0.5%,Independent, AC View
9,9,Nitya Nand Singh,81,"3,925",0.5%,Samajwadi Party, AC View
10,10,Ram Udar Prasad Thakur,81,"3,239",0.4%,Independent, AC View
11,11,Upendra Pd. Singh,81,"2,832",0.4%,Apna Dal, AC View
12,12,Panna Lal Sahani,81,"2,816",0.4%,Independent, AC View
13,13,Umesh Sahani,81,"2,341",0.3%,Independent, AC View
14,14,Upendra Chaudhary,81,"2,217",0.3%,Independent, AC View
15,15,Braj Kishore Singh,81,"1,573",0.2%,Independent, AC View
16,16,Jainendra Kumar,81,"1,238",0.2%,Janata Dal (Secular), AC View
