x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ch. Munawwar Hasan,4800,"306,225",35.5%,Samajwadi Party, AC View
2,2,Amarpal Singh,4800,"237,220",27.5%,Bharatiya Janta Party, AC View
3,3,Suratsingh Verma,1400,"182,290",21.1%,Bahujan Samaj Party, AC View
4,4,Saiduzzaman,600,"105,177",12.2%,Indian National Congress, AC View
5,5,Kunwar Vijender Singh Tyagi,200,"11,456",1.3%,Bahujan Kisan Dal, AC View
6,6,Salman Saeed,200,"5,233",0.6%,Independent, AC View
7,7,Ranbir Singh Kashyap,200,"3,690",0.4%,Independent, AC View
8,8,Manoj Saini,200,"3,524",0.4%,Independent, AC View
9,9,Briham Prakash,200,"2,202",0.3%,Indian Justice Party, AC View
10,10,Ramvir Singh,200,"1,406",0.2%,Independent, AC View
11,11,Raj Kumar,200,"1,189",0.1%,Jansatta Party, AC View
12,12,Arshad Hasan,200,"1,070",0.1%,Independent, AC View
13,13,Mohd. Irfan,200,727,0.1%,Navbharat Nirman Party, AC View
14,14,Balbir Singh,200,542,0.1%,Independent, AC View
15,15,Pradeep Verma,200,457,0.1%,Independent, AC View
