x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bhanu Pratap Singh Verma,14200,"195,228",33.7%,Bharatiya Janta Party, AC View
2,2,Ghanshyam Kori,14200,"168,437",29.1%,Samajwadi Party, AC View
3,3,Brij Lal Khabri,7000,"157,559",27.2%,Bahujan Samaj Party, AC View
4,4,Nathuram Verma,400,"26,993",4.7%,Indian National Congress, AC View
5,5,Raghunath Prasad Bharti (BARAR),200,"9,738",1.7%,Apna Dal, AC View
6,6,Ram Shankar,200,"8,660",1.5%,Independent, AC View
7,7,Com. Kanshiram Verma (BARAR),200,"3,728",0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Raju,200,"2,726",0.5%,Rashtriya Samanta Dal, AC View
9,9,Jiledar Singh Dohare,200,"2,561",0.4%,Independent, AC View
10,10,Lal Das (BHANTE ANAND),200,"2,255",0.4%,Indian Justice Party, AC View
11,11,Rajendra Kori,200,"1,892",0.3%,Independent, AC View
