x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Atal Bihari Vajpayee,214,"324,714",56.1%,Bharatiya Janta Party, AC View
2,2,Madhu Gupta,214,"106,339",18.4%,Samajwadi Party, AC View
3,3,Jethmalani Ram Boolchand,127,"57,685",10.0%,Independent, AC View
4,4,Nasir Ali Siddiqui,123,"53,566",9.3%,Bahujan Samaj Party, AC View
5,5,Krishnapal,70,"6,928",1.2%,Samata Party, AC View
6,6,Shekh Ajij Ahmed Mo. Ahmed Alias Ajij Ahmed Dyer,70,"4,051",0.7%,Independent, AC View
7,7,Salahuddin,70,"3,965",0.7%,Independent, AC View
8,8,Arun Kumar Patel,70,"2,804",0.5%,Apna Dal, AC View
9,9,Ajay Chaturvedi,70,"2,110",0.4%,Independent, AC View
10,10,Domai,70,"1,203",0.2%,Independent, AC View
11,11,Ajay Kumar Pandey,70,"1,043",0.2%,Independent, AC View
12,12,D P Pal,70,"1,026",0.2%,Independent, AC View
13,13,Jaffar Ali,70,"1,018",0.2%,Independent, AC View
14,14,Nand Kumar Rajpoot (LODHI),70,981,0.2%,Jharkhand Party, AC View
15,15,Mohd. Kamran Siddiqui,70,918,0.2%,Independent, AC View
16,16,"Askari ""shakti""",70,885,0.2%,Rashtriya Krantikari Samajwadi Party, AC View
17,17,Vijay Narayan Pal (DR. V.N. PAL),70,864,0.1%,Indian Justice Party, AC View
18,18,Khem Singh Arya,70,829,0.1%,Akhil Bhartiya Rajarya Sabha, AC View
19,19,Pradeep Kumar Rawat,70,753,0.1%,Rashtriya Swabhimaan Party, AC View
20,20,Faguram,70,671,0.1%,Independent, AC View
21,21,Neelam Singh,70,639,0.1%,Independent, AC View
22,22,Mahatma Premchandra Singh,70,621,0.1%,Independent, AC View
23,23,Ravi Shankar Dikshit,70,604,0.1%,Independent, AC View
24,24,Ram Kumar Shukl,70,598,0.1%,Independent, AC View
25,25,R.K. Bhardwaj,70,597,0.1%,Krantikari Manuwadi Morcha, AC View
26,26,Ram Sharan,70,572,0.1%,Bharatiya Nagrik Party, AC View
27,27,Naresh Singh Bhadoria,70,548,0.1%,Independent, AC View
28,28,Jeetu Ram Ratna Jeetu Pasi,70,487,0.1%,Vikas Party, AC View
29,29,Mahesh Chandra Sharma,70,450,0.1%,Independent, AC View
30,30,Mahesh Kumar Nimbekar,70,395,0.1%,Shoshit Samaj Party, AC View
31,31,Mangat Ram,70,366,0.1%,Independent, AC View
32,32,K. Padmarajan,70,326,0.1%,Independent, AC View
