x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jagdish Tytler,10006,"140,073",51.6%,Indian National Congress, AC View
2,2,Vijay Goel,10006,"124,099",45.7%,Bharatiya Janta Party, AC View
3,3,Dharam Pal,82,"3,628",1.3%,Bahujan Samaj Party, AC View
4,4,Mohd. Imran Ansari,74,"1,074",0.4%,Samajwadi Party, AC View
5,5,Hari Krishan,74,895,0.3%,Independent, AC View
6,6,Vijay Goel,74,418,0.2%,Independent, AC View
7,7,Soni Sonkar,74,385,0.1%,Independent, AC View
8,8,Vijay Kumar Gupta,74,237,0.1%,Independent, AC View
9,9,Dr. Rajesh Kumar Bhatia,74,138,0.1%,Akhand Bharti, AC View
10,10,Anil Kumar Chadha,74,127,0.0%,Independent, AC View
11,11,Pramod Tiwari,74,126,0.0%,Parmarth Party, AC View
12,12,Pt. Nand Kishor Mishra Baba,74,124,0.0%,Akhil Bharat Hindu Mahasabha, AC View
13,13,Md Zahid,74,88,0.0%,Independent, AC View
14,14,Rafiullah,74,79,0.0%,Independent, AC View
15,15,Dildar Hussin Beg,74,53,0.0%,Independent, AC View
