x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sunil Kumar Mahato,1830,"396,056",51.0%,Jharkhand Mukti Morcha, AC View
2,2,Abha Mahto,1830,"290,423",37.4%,Bharatiya Janta Party, AC View
3,3,Omkar Nath Jaiswal,85,"17,409",2.2%,Samajwadi Party, AC View
4,4,Surya Singh Besra,85,"11,057",1.4%,Nagaland Peoples Front, AC View
5,5,Sitaram Tudu,85,"11,022",1.4%,Independent, AC View
6,6,Dr. Badal Chandra Bhakat,85,"10,138",1.3%,Independent, AC View
7,7,Yogendra Sharma,77,"9,640",1.2%,Shiv Sena, AC View
8,8,Baijnath Sharma,77,"5,702",0.7%,Bahujan Samaj Party, AC View
9,9,Manoj Budhia,77,"4,952",0.6%,Independent, AC View
10,10,Anang Pradhan,77,"4,117",0.5%,Independent, AC View
11,11,Dil Bahadur,77,"3,629",0.5%,Jharkhand Party, AC View
12,12,Shyamal Ranjan Sarkar,77,"3,498",0.5%,Independent, AC View
13,13,Gobardhan Patro,77,"2,466",0.3%,Independent, AC View
14,14,Sujit Singh,77,"2,377",0.3%,Lok Jan Shakti Party, AC View
15,15,Hemanta Singh,77,"2,098",0.3%,Amara Bengali, AC View
16,16,Shekh Rashid,77,"1,935",0.2%,National Loktantrik Party, AC View
