x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ahir  Vikrambhai Arjanbhai Madam,149755,"204,468",47.2%,Indian National Congress, AC View
2,2,Koradia Chandreshbhai Valjibhai (CHANDRESH PATEL),149755,"198,875",45.9%,Bharatiya Janta Party, AC View
3,3,Higla Kalabhai Anandbhai,98,"11,808",2.7%,Independent, AC View
4,4,Kungda Jusab Sidik,92,"5,306",1.2%,Bahujan Samaj Party, AC View
5,5,Vyas Rajesh Shivshanker,81,"3,774",0.9%,Independent, AC View
6,6,Bhokal Kasam Abubhai,81,"3,739",0.9%,Independent, AC View
7,7,Chavda Devayat Jivabhai,81,"1,725",0.4%,Independent, AC View
8,8,Parmar Narshibhai Bhojabhai,81,"1,306",0.3%,Independent, AC View
9,9,Trivedi Piyush Navnitrai,81,"1,235",0.3%,Independent, AC View
10,10,Jogel Manilal Devjibhai,81,"1,205",0.3%,Independent, AC View
