x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rameshwar Oraon,1000,"223,920",47.9%,Indian National Congress, AC View
2,2,Dukha Bhagat,1000,"133,665",28.6%,Bharatiya Janta Party, AC View
3,3,Chamra Linda,400,"58,947",12.6%,Independent, AC View
4,4,Sukhdeo Lohra,200,"9,691",2.1%,Independent, AC View
5,5,Bhupendra Nath Ram,200,"7,122",1.5%,Bahujan Samaj Party, AC View
6,6,Vinod Bhagat,200,"6,529",1.4%,Jharkhand Party, AC View
7,7,China Minj,200,"6,003",1.3%,Akhil Bharatiya Lok Tantrik Alp-Sankhyak Jan Morcha, AC View
8,8,Bhuneswar Lohra,200,"4,861",1.0%,Independent, AC View
9,9,Laxman Oraon,200,"3,988",0.9%,All Jharkhand Students Union, AC View
10,10,Punam Xalxo,200,"3,987",0.9%,Independent, AC View
11,11,Amit Kumar Bhagat,200,"2,783",0.6%,Independent, AC View
12,12,Amroo Oraon,200,"2,510",0.5%,Independent, AC View
13,13,Mangra Oraon,200,"2,458",0.5%,Apna Dal, AC View
