x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Brij Bhushan Sharan Singh,5617,"270,941",38.8%,Bharatiya Janta Party, AC View
2,2,Rizwan Zaheer Alias Rijju Bhaya,5617,"218,328",31.3%,Bahujan Samaj Party, AC View
3,3,Dr. Mohd Umar,1250,"165,090",23.6%,Samajwadi Party, AC View
4,4,Sri Ram,119,"9,363",1.3%,Independent, AC View
5,5,Ekbal Siddiqui,119,"9,286",1.3%,Indian National Congress, AC View
6,6,Ameer Haider Khan,106,"4,874",0.7%,All India Minorities Front, AC View
7,7,Mohd. Shajid,106,"3,838",0.5%,Independent, AC View
8,8,Pujaram Sonker Advocate,106,"3,427",0.5%,Apna Dal, AC View
9,9,Holi Ram,106,"3,127",0.4%,Independent, AC View
10,10,Mohd. Raees,106,"2,468",0.4%,Independent, AC View
11,11,Mohd. Ahsan,106,"2,352",0.3%,Independent, AC View
12,12,Jafer Ali,106,"1,852",0.3%,Independent, AC View
13,13,Arjun,106,"1,587",0.2%,Independent, AC View
14,14,Pooran,106,"1,573",0.2%,Independent, AC View
