x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mulayam Singh Yadav,200,"460,470",64.0%,Samajwadi Party, AC View
2,2,Ashok Shakya,200,"122,600",17.0%,Bahujan Samaj Party, AC View
3,3,Balram Singh Yadav,200,"111,153",15.4%,Bharatiya Janta Party, AC View
4,4,Tha. Rajendra Singh Jadon,200,"9,896",1.4%,Indian National Congress, AC View
5,5,Genda Lal Pal,200,"4,702",0.7%,Labour Party (Secular), AC View
6,6,Vijendra,200,"4,001",0.6%,Independent, AC View
7,7,Ram Prakash,200,"3,950",0.5%,Independent, AC View
8,8,Rakesh Kumar S/o Shri Shaitan Singh,200,966,0.1%,Independent, AC View
9,9,Mitra Pal,200,566,0.1%,Bharatiya Muhabbat Party (All India), AC View
10,10,Rakesh Kumar S/o Shri Pratap Singh,200,545,0.1%,Independent, AC View
11,11,Tekchandra,200,409,0.1%,Independent, AC View
12,12,Anand Bihari,200,354,0.0%,Independent, AC View
13,13,Ashok Kumar,200,306,0.0%,Independent, AC View
