x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vijay Kumar Malhotra,31184,"240,654",50.3%,Bharatiya Janta Party, AC View
2,2,R. K. Anand,31184,"224,649",46.9%,Indian National Congress, AC View
3,3,Shiv Khera,78,"4,832",1.0%,Independent, AC View
4,4,Surjeet Singh Assie (BILLA),78,"4,100",0.9%,Bahujan Samaj Party, AC View
5,5,Syed Naseer Ahmed,78,"1,163",0.2%,Independent, AC View
6,6,Saifullah Siddiqui Alias Shafi,78,817,0.2%,Independent, AC View
7,7,R. Ravichandran,78,449,0.1%,J & K National Panthers Party, AC View
8,8,Sumitra Kundu,78,412,0.1%,Independent, AC View
9,9,Kalpana Chowdhury,78,372,0.1%,Independent, AC View
10,10,Satbir Chandelia,78,344,0.1%,Independent, AC View
11,11,Colonel ( DR.) M. P. DHIR,78,277,0.1%,Independent, AC View
12,12,Dinesh Jain,78,206,0.0%,Independent, AC View
13,13,Dr. Janice Darbari,78,182,0.0%,Independent, AC View
14,14,Jai Kishan Balguhar,78,157,0.0%,Independent, AC View
15,15,Mahinder Pal Singh Tokas,78,153,0.0%,Independent, AC View
16,16,Rajiv Harjai,78,109,0.0%,Independent, AC View
