x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raja Ram Pal,21565,"223,195",34.8%,Bahujan Samaj Party, AC View
2,2,Lal Singh Tomar,21565,"198,793",31.0%,Samajwadi Party, AC View
3,3,Shyam Bihari Mishra,2935,"159,681",24.9%,Bharatiya Janta Party, AC View
4,4,Madan Mohan Shukla,216,"34,049",5.3%,Indian National Congress, AC View
5,5,Surya Bali,136,"7,054",1.1%,Independent, AC View
6,6,Raj Bahadur,121,"4,777",0.7%,Apna Dal, AC View
7,7,Janey Alam,121,"3,776",0.6%,Nationalist Congress Party, AC View
8,8,Babu Ram Kureel,121,"2,142",0.3%,Independent, AC View
9,9,Rajesh Kumar,121,"2,104",0.3%,Independent, AC View
10,10,Phool Singh Kushwaha,121,"1,623",0.3%,Independent, AC View
11,11,Dr. V N Pal,121,"1,597",0.2%,Indian Justice Party, AC View
12,12,Raja Ram Yadav,121,"1,352",0.2%,Rashtriya Janata Dal, AC View
13,13,Prabhu Dayal,121,"1,254",0.2%,Rashtriya Swabhimaan Party, AC View
