x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rahul Gandhi,118,"390,179",66.2%,Indian National Congress, AC View
2,2,Chandra Parkash Mishra Matiyari,118,"99,326",16.8%,Bahujan Samaj Party, AC View
3,3,Ram Vilashdas Vedanti,82,"55,438",9.4%,Bharatiya Janta Party, AC View
4,4,Shri Ram,58,"12,320",2.1%,Independent, AC View
5,5,Udai Raj Maurya Satyapathi Ji,58,"11,280",1.9%,Apna Dal, AC View
6,6,Shashilesh,52,"4,859",0.8%,Independent, AC View
7,7,Shyam Lal,52,"3,837",0.7%,Independent, AC View
8,8,Mohd Sabir Khan,52,"3,229",0.5%,Rashtriya Swabhimaan Party, AC View
9,9,Ram Dulare,52,"2,615",0.4%,Independent, AC View
10,10,Radhay Shyam,52,"2,539",0.4%,Independent, AC View
11,11,Rajesh Kumar Rawqt,52,"2,124",0.4%,Independent, AC View
12,12,Jiya Lal,52,"1,850",0.3%,Independent, AC View
