x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Swadesh Chakrabortty,423,"489,444",53.8%,Communist Party Of India (MARXIST), AC View
2,2,Dr. Bikram Sarkar,423,"242,507",26.7%,All India Trinamool Congress, AC View
3,3,Sultan Singh,207,"152,100",16.7%,Indian National Congress, AC View
4,4,Mantu Das,71,"5,788",0.6%,Independent, AC View
5,5,Anup Dey,71,"4,013",0.4%,Janata Dal (Secular), AC View
6,6,Prasadi Ram,71,"2,927",0.3%,Independent, AC View
7,7,Rabindra Kumar Jaiswal,71,"2,864",0.3%,Bahujan Samaj Party, AC View
8,8,Monoranjan Polley,71,"2,445",0.3%,Independent, AC View
9,9,Bimal Mondal,71,"2,313",0.3%,Independent, AC View
10,10,Aloke Ghosh,71,"2,013",0.2%,Independent, AC View
11,11,Panchu Gopal Bagani,71,"1,771",0.2%,Independent, AC View
12,12,Goutam Mondal,71,"1,521",0.2%,Independent, AC View
13,13,Gautam Saha,71,"1,263",0.1%,Independent, AC View
14,14,Gopal Chandra Modi,71,663,0.1%,Independent, AC View
