x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Lalchandra,120063,"189,521",26.1%,Bahujan Samaj Party, AC View
2,2,Pakauri Lal,120063,"179,159",24.7%,Samajwadi Party, AC View
3,3,Ram Shakal,28023,"167,211",23.1%,Bharatiya Janta Party, AC View
4,4,Brij Kishor Kanaujiya,651,"65,916",9.1%,Indian National Congress, AC View
5,5,Ram Sajivan Nirmal,394,"41,461",5.7%,Apna Dal, AC View
6,6,Shravan Kumar,253,"18,949",2.6%,Independent, AC View
7,7,Prem Shankar,241,"15,475",2.1%,Pragtisheel Manav Samaj Party, AC View
8,8,Teerathraj,218,"11,746",1.6%,Independent, AC View
9,9,Ashok,218,"11,120",1.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
10,10,Ramjag Singh,188,"7,291",1.0%,Rashtriya Samanta Dal, AC View
11,11,Ramesh Kumar,188,"5,997",0.8%,Independent, AC View
12,12,Daya Shankar,188,"4,730",0.7%,Independent, AC View
13,13,Amresh Chandra,169,"3,737",0.5%,Independent, AC View
14,14,Bhupendra,169,"2,511",0.3%,Vikas Party, AC View
