x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rubab Sayeda,13200,"188,949",34.4%,Samajwadi Party, AC View
2,2,Bhagat Ram Mishra,13200,"162,615",29.6%,Bahujan Samaj Party, AC View
3,3,Padam Sen Chaudhary,4400,"143,780",26.2%,Bharatiya Janta Party, AC View
4,4,D.R. Abdul Rahman Khan,200,"22,087",4.0%,Indian National Congress, AC View
5,5,Ghanshyam,200,"10,055",1.8%,Independent, AC View
6,6,Kedar Chauhan,200,"6,314",1.1%,Suheldev Bhartiya Samaj Party, AC View
7,7,Pramod Kumar Patel,200,"5,034",0.9%,Apna Dal, AC View
8,8,Ganga Ram,200,"4,145",0.8%,Nationalist Congress Party, AC View
9,9,Brijendra Kumar Singh,200,"3,432",0.6%,Rashtriya Janata Dal, AC View
10,10,Akhilesh Kumar,200,"3,126",0.6%,Independent, AC View
