x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Abdul Mannan Hossain,137317,"461,895",46.0%,Indian National Congress, AC View
2,2,Moinul Hassan Ahamed,137317,"446,415",44.5%,Communist Party Of India (MARXIST), AC View
3,3,Ali Mohammad,120,"43,716",4.4%,All India Trinamool Congress, AC View
4,4,Khadija Banu,94,"13,686",1.4%,Independent, AC View
5,5,Abdur Rashid Mondal,86,"10,446",1.0%,Pachim Banga Rajya Muslim League, AC View
6,6,Abdul Hannan Seikh,86,"10,013",1.0%,Bahujan Samaj Party, AC View
7,7,Babita Haldar,86,"7,503",0.7%,Independent, AC View
8,8,Dinesh Mandal,86,"4,793",0.5%,Independent, AC View
9,9,Md.  Sahabuddin,86,"4,550",0.5%,Indian National League, AC View
10,10,Syed Nawab Jani Meerza,86,"4,204",0.4%,Samajwadi Party, AC View
