x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Tufani Saroj,17000,"231,989",32.6%,Samajwadi Party, AC View
2,2,R A Prasad,17000,"202,179",28.4%,Bahujan Samaj Party, AC View
3,3,Vidyasagar,2800,"161,195",22.7%,Bharatiya Janta Party, AC View
4,4,Mata Prasad,400,"45,193",6.4%,Indian National Congress, AC View
5,5,Ram Murty,400,"35,912",5.0%,Independent, AC View
6,6,Kamala Prasad Musahar,200,"10,938",1.5%,Apna Dal, AC View
7,7,Virendra,200,"10,477",1.5%,Independent, AC View
8,8,Ramdayal,200,"6,867",1.0%,Rashtriya Samanta Dal, AC View
9,9,Rajendra,200,"3,413",0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
10,10,Nirbhay,200,"3,177",0.4%,Gondvana Gantantra Party, AC View
