x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sonia Gandhi,198,"378,107",58.8%,Indian National Congress, AC View
2,2,Ashok Kumar Singh,198,"128,342",19.9%,Samajwadi Party, AC View
3,3,Rajesh Yadav,106,"57,543",8.9%,Bahujan Samaj Party, AC View
4,4,Girish Narayan Panday,86,"31,290",4.9%,Bharatiya Janta Party, AC View
5,5,Hori Lal,70,"15,160",2.4%,Independent, AC View
6,6,Indra Pal Singh,70,"9,969",1.5%,Apna Dal, AC View
7,7,Shiv Balak,63,"3,873",0.6%,Independent, AC View
8,8,Sona Devi,63,"3,238",0.5%,Rashtriya Swabhimaan Party, AC View
9,9,Hira Lal,63,"3,202",0.5%,Independent, AC View
10,10,Hari Shanker,63,"2,900",0.5%,Independent, AC View
11,11,Shyam Sunder Pasi Advocate,63,"1,982",0.3%,Independent, AC View
12,12,Ram Sajiwan,63,"1,874",0.3%,Independent, AC View
13,13,Suresh Kumar,63,"1,707",0.3%,Bharat Kranti Rakshak Party, AC View
14,14,Purnmasi,63,"1,608",0.2%,Independent, AC View
15,15,Jaafar Ali,63,"1,401",0.2%,Independent, AC View
16,16,Brijlal,63,"1,364",0.2%,Independent, AC View
