x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,K. C. Singh Baba,5400,"275,658",44.7%,Indian National Congress, AC View
2,2,Vijay Bansal,5400,"226,474",36.7%,Bharatiya Janta Party, AC View
3,3,Syed  Gulam Hasnain,200,"50,803",8.2%,Bahujan Samaj Party, AC View
4,4,Rajesh Shukla,200,"31,692",5.1%,Samajwadi Party, AC View
5,5,Hari Lal,200,"8,182",1.3%,Independent, AC View
6,6,Bhuwan Chandra Joshi,200,"5,273",0.9%,Uttarakhand Kranti Dal, AC View
7,7,Kumari Bhawana Pandey,200,"3,506",0.6%,Independent, AC View
8,8,Ch. Vijay Pal Singh,200,"2,963",0.5%,Independent, AC View
9,9,Bhawan Singh Bisht,200,"2,336",0.4%,Independent, AC View
10,10,Bahadur Singh Jangi,200,"2,292",0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
11,11,Chandra Rawal,200,"2,055",0.3%,Bharat Ki Lok Jimmedar Party, AC View
12,12,Sheesh Pal Arya,200,"1,894",0.3%,Indian Justice Party, AC View
13,13,Rupendra Naagar,200,"1,686",0.3%,Shiv Sena, AC View
14,14,Zaheer  A. Ansari,200,978,0.2%,Jharkhand Party, AC View
15,15,Chaudhary  Shyam Singh Advocate,200,836,0.1%,Rashtriya Swabhimaan Party, AC View
