x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ch. Lal Singh,5600,"240,872",39.6%,Indian National Congress, AC View
2,2,Prof. Chaman Lal Gupta,5600,"193,697",31.9%,Bharatiya Janta Party, AC View
3,3,Khalid Najib Suharwardy,400,"69,971",11.5%,Jammu & Kashmir National Conference, AC View
4,4,Prof. Bhim Singh,400,"49,869",8.2%,J & K National Panthers Party, AC View
5,5,Jia Lal Verma,200,"18,974",3.1%,Bahujan Samaj Party, AC View
6,6,Amar Nath,200,"5,031",0.8%,Indian Justice Party, AC View
7,7,Ranbir Singh,200,"3,968",0.7%,Independent, AC View
8,8,Jatinder Singh,200,"3,288",0.5%,Independent, AC View
9,8,Kuldeep Kumar,200,"3,288",0.5%,Samajwadi Janata Party (RASHTRIYA), AC View
10,10,Puran Chand,200,"2,579",0.4%,Republican Party Of India, AC View
11,11,Suram Chand,200,"2,349",0.4%,Independent, AC View
12,12,Kesari Shashi Kumar,200,"2,179",0.4%,Independent, AC View
13,13,Bashir Ahmed Sheikh,200,"2,122",0.3%,Samata Party, AC View
14,14,Dev Raj,200,"1,858",0.3%,Independent, AC View
15,15,Rajinder Kumar,200,"1,620",0.3%,Independent, AC View
16,16,Sudesh Kumar Sharma,200,"1,499",0.2%,Independent, AC View
17,17,"Surjit Singh ""g"" Sitara",200,"1,391",0.2%,Secular Party Of India, AC View
18,18,Kaloo Chowdhry,200,"1,371",0.2%,All India Forward Bloc, AC View
19,19,Surinder Singh,200,"1,222",0.2%,Samajwadi Party, AC View
20,20,Sanju Gupta,200,926,0.2%,Independent, AC View
