x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ramsevak Singh ( BABUJI),8242,"246,467",43.7%,Indian National Congress, AC View
2,2,Jaibhan Singh Pawaiya,8242,"210,603",37.3%,Bharatiya Janta Party, AC View
3,3,Sukhlal Kushwah,163,"40,639",7.2%,Rashtriya Samanta Dal, AC View
4,4,Madan Kushwah,143,"30,405",5.4%,Bahujan Samaj Party, AC View
5,5,Khyaliram Baghel,115,"18,625",3.3%,Samajwadi Party, AC View
6,6,Ram Autar,101,"6,236",1.1%,Independent, AC View
7,7,Pd. Kailash Narayan Sharma,90,"3,786",0.7%,Akhil Bharat Hindu Mahasabha, AC View
8,8,Premvati Kushwah,90,"3,561",0.6%,Independent, AC View
9,9,Baldev Prasad Chakkiwale,90,"2,245",0.4%,Independent, AC View
10,10,Anand Dixit,90,"2,125",0.4%,Independent, AC View
