x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kailash Nath Singh Yadav,632800,"204,625",29.1%,Bahujan Samaj Party, AC View
2,2,Anand Ratna Maurya,632800,"202,956",28.8%,Samajwadi Party, AC View
3,3,Shashikant Rajbhar,27200,"181,815",25.8%,Bharatiya Janta Party, AC View
4,4,Ashok Singh,400,"47,843",6.8%,Indian National Congress, AC View
5,5,Ram Babu,400,"18,520",2.6%,Apna Dal, AC View
6,6,Aan Hemant Kushwaha,200,"9,959",1.4%,Rashtriya Samanta Dal, AC View
7,7,Tilak,200,"9,826",1.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
8,8,Harinath Sharma,200,"6,837",1.0%,Pragtisheel Manav Samaj Party, AC View
9,9,Hareelal,200,"6,728",1.0%,Independent, AC View
10,10,Jai Prakash,200,"5,689",0.8%,Labour Party (Secular), AC View
11,11,Mevalal Vishwakarma,200,"3,090",0.4%,Independent, AC View
12,12,Ram Sewak Yadav,200,"2,657",0.4%,Independent, AC View
13,13,Shivmurat Ram,200,"2,132",0.3%,Gondvana Gantantra Party, AC View
14,14,Dr. Salik Tiwari,200,"1,758",0.2%,Bharatiya Labour Party, AC View
