x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rajesh Kumar Manjhi,2492,"464,829",52.6%,Rashtriya Janata Dal, AC View
2,2,Balbir Chand,2492,"361,895",41.0%,Bharatiya Janta Party, AC View
3,3,Shakti Raj,80,"18,184",2.1%,Bahujan Samaj Party, AC View
4,4,Janki Paswan,80,"16,959",1.9%,Communist Party Of India, AC View
5,5,Niranjan Kumar,73,"8,046",0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
6,6,Surbala Krishna,71,"4,014",0.5%,Independent, AC View
7,7,Vishwanath Chaudahary,71,"1,919",0.2%,Apna Dal, AC View
8,8,Ajay Kumar Choudhary,71,"1,702",0.2%,Independent, AC View
9,9,Manoj Kumar,71,"1,607",0.2%,Samajwadi Party, AC View
10,10,Ramadhar Rajwar,71,"1,460",0.2%,Indian Justice Party, AC View
11,11,Laldev Manjhi,71,"1,423",0.2%,Independent, AC View
12,12,Raju Manjhi,71,"1,365",0.2%,Independent, AC View
