x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Virchandra Paswan,11600,"489,992",48.5%,Rashtriya Janata Dal, AC View
2,2,Sanjay Paswan,11600,"433,986",43.0%,Bharatiya Janta Party, AC View
3,3,Banbari Ram,200,"52,384",5.2%,Independent, AC View
4,4,Bhola Ram,200,"16,359",1.6%,Bahujan Samaj Party, AC View
5,5,Dalit Paswan,200,"3,752",0.4%,Indian Justice Party, AC View
6,6,Mewalal Rajwanshi,200,"3,623",0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Hari Choudhary,200,"2,219",0.2%,Independent, AC View
8,8,Pramod Kumar Akela,200,"1,529",0.2%,Independent, AC View
9,9,Vijay Ravidas,200,"1,467",0.1%,Independent, AC View
10,10,Shivlal Rajak,200,"1,466",0.1%,Independent, AC View
11,11,Mahendra Paswan,200,"1,112",0.1%,Jharkhand Party, AC View
12,12,Raghunandan Mochi,200,871,0.1%,Independent, AC View
13,13,Nagandra Kumar Vikal,200,659,0.1%,Independent, AC View
14,14,Polish Kumar Das,200,618,0.1%,Independent, AC View
