x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Kader Mohideen, K. M",586,"436,642",58.5%,Dravida Munetra Kazhagam, AC View
2,2,Santhanam. A,586,"258,032",34.6%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Paramasivam. A. M. S,71,"11,309",1.5%,Jharkhand Party, AC View
4,4,Karunanithi. E,64,"7,524",1.0%,Bahujan Samaj Party, AC View
5,5,Venkatesan. K,64,"5,590",0.7%,Independent, AC View
6,6,Balachandran. V,64,"4,757",0.6%,Independent, AC View
7,7,Shariff. M. K,64,"4,563",0.6%,Independent, AC View
8,8,Arun Kumar. S,64,"4,147",0.6%,Republican Party Of India (A), AC View
9,9,Thanikachalam. D,64,"3,205",0.4%,Independent, AC View
10,10,Chittybabu. P. C,64,"2,693",0.4%,Independent, AC View
11,11,Mushthaque Ahmed. A. M,64,"1,332",0.2%,Independent, AC View
12,12,Vatchalabai .(SELVI). DR. P. K,64,"1,188",0.2%,Samajwadi Party, AC View
13,13,Chandran. T,64,"1,138",0.2%,Independent, AC View
14,14,Sathiyamoorthy. J,64,"1,124",0.2%,Bharatiya Backward Party, AC View
15,15,Khader Basha. M. Z,64,881,0.1%,Independent, AC View
16,16,Kuppurao. V. P,64,825,0.1%,Independent, AC View
17,17,Kadhar Sherif. M,64,697,0.1%,Independent, AC View
18,18,Kanniyappan. P,64,676,0.1%,Independent, AC View
19,19,Kader Basha. A,64,591,0.1%,Independent, AC View
