x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Asaduddin Owaisi,2910,"378,854",38.4%,All India Majlis-E-Ittehadul Muslimoon, AC View
2,2,G.Subash Chanderji,2910,"278,709",28.3%,Bharatiya Janta Party, AC View
3,3,Konda Lakshma Reddy,1683,"249,516",25.3%,Indian National Congress, AC View
4,4,Majeedullah Khan @ Farhat Khan,172,"47,560",4.8%,Majlis Bachao Tahreek, AC View
5,5,Smt.G.Shobha Rani,118,"11,068",1.1%,Bahujan Samaj Party, AC View
6,6,Salahuddin Ahmed S.K.,105,"6,158",0.6%,Independent, AC View
7,7,Syed Gaffar,105,"4,523",0.5%,Independent, AC View
8,8,Smt.Varsha Dhawan,105,"4,199",0.4%,Pyramid Party Of India, AC View
9,9,Bhagwan Das,105,"3,189",0.3%,Independent, AC View
10,10,Mohsin-Bin-Hussain Al-Kasari,105,"2,961",0.3%,Independent, AC View
