"Position","Candidate Name","Votes","Votes %","Party"
1,Ganesh Singh,375288,41.1%,Bharatiya Janta Party
2,Ajay Singh Rahul Bhaiyya,366600,40.1%,Indian National Congress
3,Dharmendra Singh Tiwari,124602,13.6%,Bahujan Samaj Party
4,Shri Ram Shukla Rajjan,7986,0.9%,Independent
5,Jagdish Singh,7925,0.9%,Aam Aadmi Party
6,Birendra Bhai Patel,5305,0.6%,Independent
7,Keshav Prasad Tripathi Ad. K.P.,2253,0.2%,Independent
8,Shyam Lal Kushwaha,2155,0.2%,Gondvana Gantantra Party
9,Ajay Pratap Singh,2021,0.2%,Independent
10,Ashok Kumar Saket,1694,0.2%,Independent
11,Dadhibal Prasad Patel,1503,0.2%,Apna Dal
12,Raj Kumar Gotam,1202,0.1%,Bhartiya Shakti Chetna Party
13,Mahgoo Singh Muthel,950,0.1%,Dalit Vikas Party(Bharat)
14,Vinod Kumar Ravi,924,0.1%,Bhartiya Shramik Dal Socialist
