"Position","Candidate Name","Votes","Votes %","Party"
1,Giriraj Singh,390248,44.1%,Bharatiya Janta Party
2,Raj Ballabh Prasad,250091,28.3%,Rashtriya Janata Dal
3,Kaushal Yadav,168217,19.0%,Janata Dal (United)
4,Safdar Ismail,12072,1.4%,Independent
5,Sohail Anwer,7997,0.9%,Bahujan Samaj Party
6,Shulochana Devi,7324,0.8%,Independent
7,Satish Kumar,6736,0.8%,Independent
8,Manish Kumar,6443,0.7%,Independent
9,Rajendra Singh,4057,0.5%,Aam Aadmi Party
10,Aditya Narayan,3743,0.4%,Independent
11,Surendra Rajbanshi,3612,0.4%,Samajwadi Party
12,Azad Geeta Prasad Sharma,3568,0.4%,Independent
13,Vijay Ram,3291,0.4%,Moolniwasi Samaj Party
14,Mohammad Jahid Husain,3138,0.4%,All India Trinamool Congress
15,Ashok Kumar,2596,0.3%,Rajnaitik Vikalp Party
16,Umakant Rahi,2169,0.2%,Shoshit Samaj Dal
17,Pramendra Kumar Yadav,1650,0.2%,Bharatiya Ekta Dal
