"Position","Candidate Name","Votes","Votes %","Party"
1,Prakash Babanna Hukkeri,474373,44.3%,Indian National Congress
2,Katti Ramesh Vishwanath,471370,44.0%,Bharatiya Janta Party
3,Prataparao Patil,42738,4.0%,Nationalist Congress Party
4,Shrimant Balasaheb Patil,39992,3.7%,Janata Dal (Secular)
5,Kadapure Machindra Davalu,14493,1.4%,Bahujan Samaj Party
6,Shrinik Annasaheb Jangate,3622,0.3%,Independent
7,Ashfaq Ahmed Madaki,3529,0.3%,Aam Aadmi Party
8,Mohan Gurappa Motannavar,3458,0.3%,Independent
9,Magadum Gousmohiuddin Ismail Magdum,2624,0.2%,Independent
10,Basappa Kallappa Hanchanal,1744,0.2%,Independent
11,Appasaheb Sripathi Kurane,1457,0.1%,Sarva Janata Party
12,Jitendra Subhash Nerle,1414,0.1%,Independent
