"Position","Candidate Name","Votes","Votes %","Party"
1,Thangso Baite,296770,38.5%,Indian National Congress
2,Soso Lorho,281133,36.4%,Naga Peoples Front
3,Gangmumei Kamei,75828,9.8%,Bharatiya Janta Party
4,Chungkhokai Doungel,61662,8.0%,Nationalist Congress Party
5,Mani Charenamei,34995,4.5%,Independent
6,Kim Gangte,12752,1.7%,All India Trinamool Congress
7,M. Khamchinpau @ K. Zou,4331,0.6%,Aam Aadmi Party
8,Lamminlien @ Lien Gangte,1085,0.1%,Janata Dal (United)
9,Lamlalmoi @ Momoi Gangte,603,0.1%,Independent
10,Amarson Sankhil,401,0.1%,Independent
