"Position","Candidate Name","Votes","Votes %","Party"
1,Rajyavardhan Singh Rathore,632930,62.4%,Bharatiya Janta Party
2,Dr. C.P. Joshi,300034,29.6%,Indian National Congress
3,Navin Pilania,31617,3.1%,National People's Party
4,Kamal Kumar Gaur,9480,0.9%,Independent
5,Anil Kumar,6917,0.7%,Aam Aadmi Party
6,Ajay Kumar Sharma,5774,0.6%,Jago Party
7,Dr. Om Singh Meena,4520,0.4%,Independent
8,Shayam Singh Rathore,3722,0.4%,Lok Shakti
9,Tek Chand Sonwal,3047,0.3%,Ambedkarite Party Of India
10,Dhiraj Gurjar,1412,0.1%,Samajwadi Party
11,Jagdish Prasad,1378,0.1%,Lok Dal
12,Narayan Lal Parihar,1327,0.1%,Bharat Nav Nirman Party
