"Position","Candidate Name","Votes","Votes %","Party"
1,Nalin Kumar Kateel,642739,53.2%,Bharatiya Janta Party
2,Janardhana Poojary,499030,41.3%,Indian National Congress
3,Haneef Khan Kodaje,27254,2.3%,Social Democratic Party Of India
4,K Yadava Shetty,9394,0.8%,Communist Party Of India (MARXIST)
5,M. R. Vasudeva,5442,0.5%,Aam Aadmi Party
6,Moose Kunhi Alias Abdul Kareem,4471,0.4%,Bahujan Samaj Party
7,K.N. Somashekar,3421,0.3%,Independent
8,Subramanya Gowda K.,2450,0.2%,Independent
9,Sudatta Jain Shirthady,1613,0.1%,Independent
10,Advocate Ananda Gatty,1116,0.1%,Independent
11,Maxim Pinto,1072,0.1%,Independent
12,Deepak Rajesh Coelho,905,0.1%,Independent
13,K. Kushala Bellare,801,0.1%,Independent
14,Supreeth Kumar Poojary,657,0.1%,Hindustan Janata Party
